City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hambantota,LK,6.1241,81.1185,77.34,94,99,3.44,overcast clouds
79,Tautira,PF,-17.7333,-149.15,76.39,81,24,14.16,light rain
80,Turayf,SA,31.6725,38.6637,68.25,42,0,9.22,clear sky
81,El Retorno,CO,2.3302,-72.6276,78.24,91,79,1.48,broken clouds
82,Port Blair,IN,11.6667,92.75,78.84,94,75,2.3,mist
83,Asyut,EG,27.181,31.1837,69.98,36,0,7.14,clear sky
84,Umba,RU,66.6871,34.3429,38.34,94,96,9.37,overcast clouds
85,Bethel,US,41.3712,-73.414,56.25,59,0,8.05,clear sky
86,Sangar,RU,63.9242,127.4739,16.03,83,100,8.63,overcast clouds
87,Grants,US,35.1473,-107.8514,62.83,31,40,9.22,scattered clouds
88,Ambatondrazaka,MG,-17.8333,48.4167,55.24,95,30,4.65,scattered clouds
89,Mocuba,MZ,-16.8392,36.9856,72.21,87,7,3.65,clear sky
90,Daoukro,CI,7.0591,-3.9631,71.94,98,98,3.51,light rain
91,Bonavista,CA,48.6499,-53.1147,50.72,91,59,8.93,broken clouds
92,Tadine,NC,-21.55,167.8833,75.7,69,82,13.06,broken clouds
93,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,88,31,14.81,scattered clouds
94,Makakilo City,US,21.3469,-158.0858,86.61,49,0,9.22,clear sky
95,Andros,GR,37.8333,24.9333,64.96,66,5,17.0,clear sky
96,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,20,10.36,few clouds
97,Araouane,ML,18.9048,-3.5265,88.83,14,96,8.43,overcast clouds
98,Vernon,CA,50.2581,-119.2691,65.73,36,24,2.3,few clouds
99,Thanh Hoa,VN,19.8,105.7667,66.22,57,100,5.1,overcast clouds
100,Bandar,ID,2.05,99.75,73.67,88,100,1.92,overcast clouds
101,Souillac,MU,-20.5167,57.5167,70.18,73,20,10.36,few clouds
102,Yellowknife,CA,62.456,-114.3525,50.56,62,20,12.66,few clouds
103,Ulcinj,ME,41.9294,19.2244,57.97,55,2,4.25,clear sky
104,Provideniya,RU,64.3833,-173.3,30.36,86,100,2.24,overcast clouds
105,Kargasok,RU,59.0556,80.8572,37.92,95,100,5.79,overcast clouds
106,Gryfino,PL,53.2524,14.4883,54.64,91,1,9.86,clear sky
107,Saint Anthony,US,45.0205,-93.218,44.29,39,0,14.97,clear sky
108,Bac Lieu,VN,9.285,105.7244,77.25,88,80,3.13,broken clouds
109,Bodaybo,RU,57.8506,114.1933,31.1,93,100,6.2,overcast clouds
110,Tecpan,GT,14.7623,-90.9947,64.89,86,97,2.89,light rain
111,Keetmanshoop,NA,-26.5833,18.1333,78.04,28,5,3.15,clear sky
112,Touros,BR,-5.1989,-35.4608,77.95,79,67,16.6,broken clouds
