City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Binga,ZW,2022-10-15 16:55:37,-17.6203,27.3414,82.18,29,92,5.95
68,Moose Factory,CA,2022-10-15 16:55:37,51.2585,-80.6094,48.2,66,0,4.61
69,Tura,IN,2022-10-15 16:55:38,25.5198,90.2201,67.82,77,1,3.96
70,Arraial Do Cabo,BR,2022-10-15 16:55:38,-22.9661,-42.0278,80.46,47,0,23.02
71,Castro,BR,2022-10-15 16:55:38,-24.7911,-50.0119,60.3,93,100,5.55
72,Ushuaia,AR,2022-10-15 16:55:39,-54.8,-68.3,49.62,49,0,25.32
73,Lerwick,GB,2022-10-15 16:55:39,60.1545,-1.1494,46.4,82,97,17.6
74,Mataura,NZ,2022-10-15 16:55:39,-46.1927,168.8643,47.77,86,99,1.01
75,Clyde River,CA,2022-10-15 16:55:40,70.4692,-68.5914,34.03,93,75,6.91
76,Nola,IT,2022-10-15 16:55:40,40.922,14.5329,70.21,77,0,3.51
77,Pangnirtung,CA,2022-10-15 16:55:40,66.1451,-65.7125,48.2,40,100,0.0
78,Hithadhoo,MV,2022-10-15 16:55:41,-0.6,73.0833,81.97,72,88,15.41
79,Hambantota,LK,2022-10-15 16:55:41,6.1241,81.1185,78.73,84,99,12.15
80,Campbell River,CA,2022-10-15 16:55:41,50.0163,-125.2446,58.44,100,75,4.61
81,Puerto Ayora,EC,2022-10-15 16:52:06,-0.7393,-90.3518,75.16,89,80,8.99
82,Bassar,TG,2022-10-15 16:55:42,9.25,0.7833,76.23,87,79,4.63
83,Mokhsogollokh,RU,2022-10-15 16:55:42,61.4681,128.9203,22.59,97,99,3.65
84,Victoria,HK,2022-10-15 16:54:08,22.2855,114.1577,83.32,48,100,8.01
85,Taltal,CL,2022-10-15 16:55:43,-25.4,-70.4833,63.86,66,13,5.99
86,Airai,TL,2022-10-15 16:55:43,-8.9266,125.4092,61.72,80,56,2.51
87,Fukue,JP,2022-10-15 16:55:43,32.6881,128.8419,71.38,80,0,10.38
88,Bousso,TD,2022-10-15 16:55:44,10.4795,16.7117,79.61,62,100,5.7
89,Saint-Philippe,RE,2022-10-15 16:55:44,-21.3585,55.7679,71.19,79,36,10.2
90,Labuhan,ID,2022-10-15 16:55:44,-6.8844,112.2051,78.55,85,99,8.81
91,Santa Maria,BR,2022-10-15 16:56:45,-29.6842,-53.8069,72.7,56,40,16.11
92,Luau,AO,2022-10-15 16:56:45,-10.7073,22.2247,79.63,19,54,4.36
93,Comodoro Rivadavia,AR,2022-10-15 16:56:45,-45.8667,-67.5,67.86,32,20,12.66
94,Cabo San Lucas,MX,2022-10-15 16:56:46,22.8909,-109.9124,84.18,60,32,7.0
95,Qasigiannguit,GL,2022-10-15 16:56:46,68.8193,-51.1922,22.84,74,16,6.06
96,Saldanha,ZA,2022-10-15 16:56:46,-33.0117,17.9442,71.65,78,100,16.28
97,East London,ZA,2022-10-15 16:52:06,-33.0153,27.9116,63.54,94,75,11.5
98,Sinnamary,GF,2022-10-15 16:56:47,5.3833,-52.95,86.49,65,15,12.33
99,Klyuchi,RU,2022-10-15 16:56:47,52.2667,79.1667,48.74,38,59,3.87
100,Kantemirovka,RU,2022-10-15 16:56:47,49.7089,39.8592,42.67,60,2,6.2
101,Bethel,US,2022-10-15 16:52:01,41.3712,-73.414,69.55,53,0,8.05
102,Katsuura,JP,2022-10-15 16:56:48,35.1333,140.3,69.1,82,9,10.58
103,Qinzhou,CN,2022-10-15 16:56:48,21.95,108.6167,68.85,42,91,6.49
104,Iqaluit,CA,2022-10-15 16:56:49,63.7506,-68.5145,33.53,100,100,16.11
105,Mahebourg,MU,2022-10-15 16:56:49,-20.4081,57.7,71.89,68,40,6.91
106,Bandarbeyla,SO,2022-10-15 16:56:49,9.4942,50.8122,77.61,87,4,9.22
107,Yulara,AU,2022-10-15 16:56:50,-25.2406,130.9889,70.79,40,40,11.79
108,Viedma,AR,2022-10-15 16:56:50,-40.8135,-62.9967,72.19,19,3,16.49
109,Bud,US,2022-10-15 16:56:51,39.447,-86.1758,56.46,43,37,10.6
110,Voljevac,BA,2022-10-15 16:56:51,43.8786,17.6592,52.27,72,12,0.96
111,Sitrah,BH,2022-10-15 16:56:51,26.1547,50.6206,88.02,66,0,9.22
112,Bluff,NZ,2022-10-15 16:56:52,-46.6,168.3333,51.96,87,99,6.38
113,Bathsheba,BB,2022-10-15 16:56:52,13.2167,-59.5167,88.41,70,40,11.5
114,Grants,US,2022-10-15 16:56:52,35.1473,-107.8514,53.83,35,0,0.0
115,Cape Town,ZA,2022-10-15 16:55:38,-33.9258,18.4232,66.61,78,0,11.5
116,Wajima,JP,2022-10-15 16:56:53,37.4,136.9,66.7,75,70,10.69
117,Kapaa,US,2022-10-15 16:56:53,22.0752,-159.319,71.1,78,60,9.08
118,Naze,JP,2022-10-15 16:56:53,28.3667,129.4833,77.92,87,75,10.51
119,Bambanglipuro,ID,2022-10-15 16:56:54,-7.95,110.2833,76.69,85,100,2.86
120,Cherskiy,RU,2022-10-15 16:56:54,68.75,161.3,9.07,96,99,7.61
121,Yerbogachen,RU,2022-10-15 16:56:55,61.2767,108.0108,28.81,81,100,8.32
122,Leningradskiy,RU,2022-10-15 16:56:55,69.3833,178.4167,8.56,90,33,5.14
123,Farmington,US,2022-10-15 16:56:55,36.7281,-108.2187,69.21,36,0,4.0
124,Narsaq,GL,2022-10-15 16:56:56,60.9167,-46.05,40.62,73,7,7.25
125,Kloulklubed,PW,2022-10-15 16:56:56,7.0419,134.2556,82.27,77,100,14.7
126,Avera,US,2022-10-15 16:56:56,33.194,-82.5271,77.56,33,0,4.79
127,Qaanaaq,GL,2022-10-15 16:56:57,77.484,-69.3632,30.72,69,100,33.71
128,Salyan,AZ,2022-10-15 16:56:57,39.5936,48.9805,67.35,65,100,16.75
129,Avarua,CK,2022-10-15 16:56:57,-21.2078,-159.775,73.45,78,46,2.3
130,Souillac,MU,2022-10-15 16:56:58,-20.5167,57.5167,71.98,68,40,6.91
131,Iralaya,HN,2022-10-15 16:56:58,15.0,-83.2333,84.02,75,92,6.42
132,Scarborough,GB,2022-10-15 16:56:40,54.2797,-0.4044,53.17,72,49,7.0
133,Pevek,RU,2022-10-15 16:56:59,69.7008,170.3133,15.78,94,100,5.99
134,Ekibastuz,KZ,2022-10-15 16:55:02,51.6667,75.3667,53.8,43,100,9.28
135,Hualmay,PE,2022-10-15 16:56:59,-11.0964,-77.6139,67.17,69,17,11.1
136,Ofunato,JP,2022-10-15 16:57:59,39.0717,141.7167,59.09,90,18,3.11
137,Bluefields,NI,2022-10-15 16:58:00,12.0137,-83.7635,86.07,79,40,4.61
138,Inyonga,TZ,2022-10-15 16:58:00,-6.7167,32.0667,78.04,24,93,1.01
139,Sobolevo,RU,2022-10-15 16:58:00,54.4299,31.8996,41.5,81,32,8.14
140,Tiksi,RU,2022-10-15 16:58:01,71.6872,128.8694,21.13,84,100,22.48
141,Vila Velha,BR,2022-10-15 16:58:01,-20.3297,-40.2925,80.55,77,40,11.5
142,Majene,ID,2022-10-15 16:58:02,-3.5403,118.9707,77.95,83,100,4.79
143,Taoudenni,ML,2022-10-15 16:58:02,22.6783,-3.9836,102.52,6,89,8.86
144,Hobyo,SO,2022-10-15 16:58:02,5.3505,48.5268,78.84,80,13,16.22
145,Winsum,NL,2022-10-15 16:58:03,53.33,6.5208,59.09,93,98,13.96
146,Tynda,RU,2022-10-15 16:58:04,55.1667,124.7167,29.75,88,100,14.0
147,Khatanga,RU,2022-10-15 16:58:04,71.9667,102.5,33.13,98,100,18.41
148,Mar Del Plata,AR,2022-10-15 16:58:05,-38.0023,-57.5575,63.09,82,75,20.0
149,Khash,IR,2022-10-15 16:58:05,28.2211,61.2158,67.55,12,0,5.26
150,Waipawa,NZ,2022-10-15 16:58:06,-41.4122,175.5153,41.16,90,100,3.78
151,Bangsund,NO,2022-10-15 16:58:06,64.3968,11.3949,40.91,100,40,2.3
152,Illapel,CL,2022-10-15 16:58:06,-31.6308,-71.1653,77.05,37,0,7.85
153,San Patricio,US,2022-10-15 16:58:07,28.017,-97.5169,88.52,49,31,11.95
154,Luderitz,NA,2022-10-15 16:58:07,-26.6481,15.1594,74.14,36,89,8.3
155,Moree,AU,2022-10-15 16:58:08,-29.4667,149.85,55.11,73,60,7.09
156,Seredka,RU,2022-10-15 16:58:08,58.1584,28.1858,53.35,77,100,11.43
157,Copiapo,CL,2022-10-15 16:55:20,-27.3667,-70.3333,58.69,33,5,7.0
158,Cosenza,IT,2022-10-15 16:58:08,39.31,16.2502,65.32,75,0,2.86
159,Georgetown,MY,2022-10-15 16:54:28,5.4112,100.3354,76.95,97,40,5.75
160,Dingle,PH,2022-10-15 16:58:09,10.9995,122.6711,78.15,85,98,7.72
161,Bonavista,CA,2022-10-15 16:58:09,48.6499,-53.1147,54.52,71,100,4.36
162,Bireun,ID,2022-10-15 16:58:10,5.203,96.7009,79.47,78,92,4.9
163,Isangel,VU,2022-10-15 16:58:10,-19.55,169.2667,69.8,68,9,6.29
164,Tuatapere,NZ,2022-10-15 16:58:10,-46.1333,167.6833,50.02,89,99,4.21
165,New Norfolk,AU,2022-10-15 16:58:11,-42.7826,147.0587,45.9,60,7,2.62
166,Hirado,JP,2022-10-15 16:58:12,33.3597,129.5531,62.38,82,0,13.58
167,Padang,ID,2022-10-15 16:58:12,-0.9492,100.3543,73.45,97,100,0.98
168,Yinchuan,CN,2022-10-15 16:58:13,38.4681,106.2731,53.37,20,5,5.79
169,Fortuna,US,2022-10-15 16:58:13,40.5982,-124.1573,52.14,48,0,2.26
170,Sulangan,PH,2022-10-15 16:58:14,11.1373,123.7228,84.43,73,52,11.9
171,Doha,QA,2022-10-15 16:58:14,25.2867,51.5333,89.49,55,0,6.91
172,Ancud,CL,2022-10-15 16:58:14,-41.8697,-73.8203,55.15,65,43,5.01
173,Vagur,FO,2022-10-15 16:58:15,61.4732,-6.8119,45.99,81,100,25.75
174,Vila,PT,2022-10-15 16:58:15,42.0304,-8.1588,57.7,86,94,7.85
175,Metro,ID,2022-10-15 16:58:16,-5.1131,105.3067,76.12,88,100,5.82
176,Srednekolymsk,RU,2022-10-15 16:58:16,67.45,153.6833,10.36,96,96,6.69
177,Spas-Demensk,RU,2022-10-15 16:58:16,54.4122,34.0226,39.27,80,72,5.41
178,Bilma,NE,2022-10-15 16:58:17,18.6853,12.9164,87.66,12,0,6.04
